draft round,draft_position,expected_FV
1,1,70
1,2,66
1,3,66
1,4,70
1,5,62
1,6,62
1,7,70
1,8,63
1,9,63
1,10,63
1,11,64
1,12,66
1,13,64
1,14,62
1,15,64
1,16,58
1,17,64
1,18,64
1,19,60
1,20,58
1,21,62
1,22,58
1,23,61
1,24,55
1,25,54
1,26,59
1,27,61
1,28,59
1,29,56
1,30,58
1,31,55
1,32,56
2,1,51
2,2,59
2,3,54
2,4,51
2,5,55
2,6,56
2,7,53
2,8,55
2,9,52
2,10,53
2,11,52
2,12,47
2,13,50
2,14,56
2,15,54
2,16,50
2,17,52
2,18,50
2,19,52
2,20,50
2,21,50
2,22,52
2,23,46
2,24,49
2,25,52
2,26,51
2,27,48
2,28,49
2,29,49
2,30,48
2,31,50
2,32,52
3,1,50
3,2,49
3,3,52
3,4,52
3,5,44
3,6,48
3,7,48
3,8,48
3,9,52
3,10,48
3,11,46
3,12,46
3,13,47
3,14,46
3,15,49
3,16,49
3,17,48
3,18,49
3,19,51
3,20,50
3,21,48
3,22,49
3,23,45
3,24,46
3,25,44
3,26,48
3,27,46
3,28,46
3,29,47
3,30,47
3,31,45
3,32,42
4,1,46
4,2,44
4,3,46
4,4,45
4,5,44
4,6,42
4,7,45
4,8,43
4,9,45
4,10,47
4,11,46
4,12,41
4,13,43
4,14,46
4,15,48
4,16,45
4,17,42
4,18,40
4,19,42
4,20,43
4,21,45
4,22,46
4,23,43
4,24,46
4,25,43
4,26,50
4,27,45
4,28,43
4,29,48
4,30,43
4,31,45
4,32,44
5,1,42
5,2,43
5,3,40
5,4,41
5,5,42
5,6,43
5,7,41
5,8,43
5,9,43
5,10,40
5,11,42
5,12,39
5,13,41
5,14,44
5,15,43
5,16,41
5,17,41
5,18,41
5,19,41
5,20,43
5,21,45
5,22,45
5,23,38
5,24,44
5,25,43
5,26,41
5,27,41
5,28,39
5,29,43
5,30,41
5,31,42
5,32,41
6,1,40
6,2,40
6,3,41
6,4,35
6,5,41
6,6,43
6,7,39
6,8,36
6,9,43
6,10,39
6,11,41
6,12,41
6,13,41
6,14,42
6,15,41
6,16,40
6,17,40
6,18,41
6,19,41
6,20,40
6,21,41
6,22,38
6,23,40
6,24,40
6,25,38
6,26,40
6,27,38
6,28,41
6,29,44
6,30,36
6,31,37
6,32,41
7,1,39
7,2,39
7,3,40
7,4,41
7,5,40
7,6,40
7,7,38
7,8,41
7,9,38
7,10,40
7,11,36
7,12,37
7,13,40
7,14,36
7,15,39
7,16,40
7,17,40
7,18,41
7,19,41
7,20,39
7,21,39
7,22,39
7,23,36
7,24,41
7,25,38
7,26,41
7,27,40
7,28,39
7,29,39
7,30,38
7,31,38
7,32,40
